Date,Open,High,Low,Close,Volume,Adj. Close
2017-04-26,1269.4,1310.0,1265.0,1307.8,6855.51610296,1307.8
2017-04-27,1308.74,1338.0,1281.0,1330.98,7765.47235645,1330.98
2017-04-28,1330.99,1347.02,1300.0,1328.65,7934.36107218,1328.65
2017-04-29,1328.65,1340.0,1299.0,1330.12,5495.33677745,1330.12
2017-04-30,1330.06,1342.8,1315.68,1322.71,2930.15212113,1322.71
2017-05-01,1323.0,1391.31,1321.4,1387.84,6537.6225374,1387.84
2017-05-02,1389.94,1481.73,1382.71,1450.86,9833.18461111,1450.86
2017-05-03,1448.16,1485.65,1403.0,1480.0,9082.40969352,1480.0
2017-05-04,1480.0,1588.08,1461.14,1586.55,13906.883991,1586.55
2017-05-05,1586.56,1623.01,1444.94,1545.0,21286.4608094,1545.0
2017-05-06,1546.79,1564.32,1495.0,1521.15,10220.5503747,1521.15
2017-05-07,1521.14,1578.97,1520.53,1540.22,7434.05048783,1540.22
2017-05-08,1540.22,1609.98,1525.1,1573.94,15712.3443615,1573.94
2017-05-09,1573.94,1760.4,1562.11,1722.53,17705.943847,1722.53
2017-05-10,1722.56,1794.21,1661.07,1788.44,13575.3170377,1788.44
2017-05-11,1788.44,1892.0,1745.0,1861.0,13529.6357492,1861.0
2017-05-12,1861.0,1868.0,1733.0,1751.38,13868.1764418,1751.38
2017-05-13,1751.98,1766.0,1601.46,1710.3,16257.6396919,1710.3
2017-05-14,1707.52,1815.0,1699.0,1772.0,5559.80677134,1772.0
2017-05-15,1774.72,1792.0,1682.56,1706.95,10099.5858528,1706.95
2017-05-16,1713.06,1745.54,1641.22,1739.01,16887.5720417,1739.01
2017-05-17,1740.0,1840.42,1670.01,1829.98,16397.9901056,1829.98
2017-05-18,1829.91,1862.3,1765.26,1855.99,14341.6758241,1855.99
2017-05-19,1852.32,1954.99,1846.5,1948.99,12388.5924377,1948.99
2017-05-20,1949.99,1989.0,1898.0,1957.08,12947.2426946,1957.08
2017-05-21,1948.16,2063.11,1947.46,2004.44,9187.69556932,2004.44
2017-05-22,1999.0,2181.99,1983.0,2172.4,10708.5040684,2172.4
2017-05-23,2171.93,2259.11,2001.0,2250.0,16650.2010551,2250.0
2017-05-24,2250.0,2420.0,2189.88,2418.0,18050.5635945,2418.0
2017-05-25,2418.0,2760.1,2350.0,2686.98,25251.0499685,2686.98
2017-05-26,2686.02,2693.38,2221.0,2416.09,30318.2103562,2416.09
2017-05-27,2415.0,2460.0,1850.0,2087.2,36266.7313851,2087.2
2017-05-28,2087.2,2313.96,2001.0,2143.01,16657.300338,2143.01
2017-05-29,2143.01,2300.58,2081.0,2259.94,10686.3452049,2259.94
2017-05-30,2260.05,2350.0,2214.95,2233.33,14080.5024357,2233.33
2017-05-31,2233.3,2329.39,2154.28,2306.61,14802.2914975,2306.61
2017-06-01,2299.01,2456.39,2269.36,2402.65,19216.1402558,2402.65
2017-06-02,2402.65,2449.55,2321.05,2429.59,13123.6607045,2429.59
2017-06-03,2428.18,2570.0,2400.13,2568.86,10791.1862103,2568.86
2017-06-04,2568.86,2584.34,2477.99,2527.11,11162.5030856,2527.11
2017-06-05,2526.07,2627.47,2460.0,2618.86,9733.90172567,2618.86
2017-06-06,2618.0,2933.0,2608.25,2839.7,21685.438479,2839.7
2017-06-07,2839.97,2893.28,2689.4,2800.0,18775.7481197,2800.0
2017-06-08,2799.97,2831.27,2612.5,2736.62,17127.8283919,2736.62
2017-06-09,2736.55,2868.23,2700.0,2852.0,9268.81442123,2852.0
2017-06-10,2851.99,2912.98,2790.0,2864.0,8366.93333209,2864.0
2017-06-11,2864.0,2948.0,2800.0,2943.9,8676.77664232,2943.9
2017-06-12,2943.92,2980.0,2702.0,2775.99,18865.7526496,2775.99
2017-06-13,2775.97,2783.62,2480.03,2737.05,25550.925144,2737.05
2017-06-14,2741.67,2801.0,2535.75,2617.95,19707.2795852,2617.95
2017-06-15,2617.95,2624.79,2120.0,2245.76,42222.67912,2245.76
2017-06-16,2246.71,2525.0,2198.13,2457.96,19729.6494986,2457.96
2017-06-17,2458.0,2610.0,2412.1,2605.4,11154.136039,2605.4
2017-06-18,2605.45,2674.4,2485.0,2562.77,9966.65228652,2562.77
2017-06-19,2566.72,2583.47,2460.62,2548.0,10836.8872266,2548.0
2017-06-20,2548.01,2674.4,2548.0,2658.29,12116.7757004,2658.29
2017-06-21,2658.02,2789.0,2632.81,2709.9,16330.3996344,2709.9
2017-06-22,2709.9,2734.5,2594.61,2734.48,14014.3624227,2734.48
2017-06-23,2734.5,2740.0,2675.71,2727.75,8126.58710487,2727.75
2017-06-24,2725.17,2745.0,2598.28,2662.48,10379.1471483,2662.48
2017-06-25,2656.65,2663.49,2505.25,2562.31,11300.4867853,2562.31
2017-06-26,2562.0,2599.0,2417.0,2420.3,18335.3310237,2420.3
2017-06-27,2419.98,2465.0,2307.0,2349.42,20458.5904052,2349.42
2017-06-28,2350.0,2570.0,2291.0,2551.69,16403.4002662,2551.69
2017-06-29,2551.69,2593.0,2500.31,2554.14,8318.24462579,2554.14
2017-06-30,2554.14,2594.78,2503.01,2525.76,8826.7091515,2525.76
2017-07-01,2521.47,2537.91,2430.0,2466.35,7804.40503541,2466.35
2017-07-02,2466.35,2469.99,2374.34,2466.0,9855.4251142,2466.0
2017-07-03,2466.03,2595.0,2456.23,2573.99,11864.2438789,2573.99
2017-07-04,2572.96,2639.47,2527.8,2580.81,10093.0318476,2580.81
2017-07-05,2580.0,2601.96,2530.1,2575.04,10202.3099174,2575.04
2017-07-06,2571.7,2623.0,2522.0,2588.0,8983.68458047,2588.0
2017-07-07,2588.0,2612.0,2486.01,2522.69,9021.58374913,2522.69
2017-07-08,2522.78,2539.53,2462.0,2527.81,6813.49078762,2527.81
2017-07-09,2521.61,2564.65,2507.12,2551.53,4239.63880147,2551.53
2017-07-10,2551.53,2558.42,2365.11,2394.0,10971.408283,2394.0
2017-07-11,2394.0,2434.99,2242.62,2347.0,20966.2825238,2347.0
2017-07-12,2347.0,2385.14,2239.54,2374.6,12841.8550342,2374.6
2017-07-13,2371.98,2425.16,2335.97,2344.93,10408.719692,2344.93
2017-07-14,2342.0,2361.26,2251.04,2259.0,7710.58770598,2259.0
